 	 	 
117	38	2.93e-06
137	38	3.02e-06
37	38	2.92e-06
87	1	2.95e-06
137	1	2.69e-06
137	1	2.95e-06
87	1	3.03e-06
12	1	3.03e-06
112	1	2.88e-06
87	1	2.97e-06
12	1	2.96e-06
12	1	2.89e-06
112	1	4.74e-06
37	1	4.4e-06
112	1	4.25e-06
112	1	2.25e-06
112	1	4.29e-06
112	1	2.07e-06
62	1	5.53e-06
12	1	3.07e-06
112	1	5.29e-06
136	1	2.09e-06
137	1	3.25e-06
37	1	2.32e-06
17	1	3.55e-06
112	1	4.36e-06
112	1	3.36e-06
112	1	2.75e-06
62	1	2.36e-06
113	1	2.1e-06
37	1	3.47e-06
11	1	2.7e-06
62	1	2.44e-06
112	1	2.11e-06
112	1	2.86e-06
112	1	2.37e-06
87	1	2.73e-06
37	1	5.54e-06
62	1	5.56e-06
87	1	5.1e-06
137	1	3.65e-06
112	1	2.09e-06
62	1	3.09e-06
37	1	2.73e-06
112	1	3.86e-06
62	1	3.52e-06
112	1	4.51e-06
37	1	2.92e-06
37	1	5.28e-06
37	1	2.99e-06
37	1	2.81e-06
137	1	2.87e-06
137	1	2.79e-06
137	1	3e-06
37	1	3.04e-06
87	1	2.89e-06
137	1	2.73e-06
12	1	2.82e-06
12	1	2.98e-06
37	1	2.95e-06
67	1	2.91e-06
87	1	2.91e-06
62	1	2.82e-06
111	1	3e-06
87	1	2.47e-06
137	1	2.84e-06
137	1	2.66e-06
112	1	2.68e-06
112	1	2.82e-06
112	1	3.01e-06
87	1	5.05e-06
72	1	2.46e-06
62	1	3.31e-06
112	1	2.25e-06
112	1	2.05e-06
37	1	5.21e-06
37	1	5.32e-06
12	1	2.97e-06
37	1	5.24e-06
112	1	2.9e-06
12	1	4.13e-06
137	1	3.01e-06
87	1	3.26e-06
62	1	4.14e-06
37	1	2.18e-06
18	1	4.18e-06
62	1	3.99e-06
37	1	4.32e-06
37	1	3.63e-06
37	1	2.99e-06
112	1	5.09e-06
12	1	2.78e-06
62	1	3.83e-06
112	1	2.71e-06
112	1	3.5e-06
62	1	4.92e-06
62	1	3.23e-06
62	1	3.54e-06
112	1	2.8e-06
37	1	2.88e-06
37	1	4.19e-06
112	1	4.93e-06
62	1	4.3e-06
112	1	2.82e-06
12	1	2.56e-06
137	1	2.86e-06
112	1	2.94e-06
12	1	2.96e-06
12	1	2.66e-06
12	1	2.6e-06
87	1	3.01e-06
37	1	2.92e-06
112	1	4.36e-06
137	1	3.27e-06
137	1	2.74e-06
112	1	2.86e-06
62	1	4.6e-06
62	1	3.7e-06
62	1	3.2e-06
112	1	4.58e-06
37	1	3.47e-06
12	1	4.72e-06
112	1	4.95e-06
137	1	5.31e-06
112	1	4.69e-06
37	1	4.42e-06
62	1	2.43e-06
62	1	4.32e-06
37	1	3.82e-06
112	1	2.67e-06
137	1	3.11e-06
37	1	5.52e-06
62	1	2.5e-06
62	1	4.98e-06
62	1	4.54e-06
112	1	3.31e-06
37	1	4.73e-06
137	1	3.57e-06
112	1	2.44e-06
62	1	5.01e-06
37	1	3.18e-06
112	1	4.11e-06
112	1	2.95e-06
37	1	2.85e-06
37	1	4.68e-06
37	1	4.61e-06
112	1	2.48e-06
112	1	3e-06
112	1	3.24e-06
87	1	3.31e-06
37	1	2.45e-06
62	1	4.59e-06
37	1	3.51e-06
37	1	2.78e-06
37	1	5.61e-06
112	1	5.03e-06
137	1	3.37e-06
112	1	3.85e-06
37	1	4.86e-06
137	1	5.37e-06
37	1	2.64e-06
137	1	3.39e-06
62	1	3.68e-06
112	1	2.67e-06
137	1	4.1e-06
12	1	2.16e-06
37	1	5.44e-06
112	1	2.96e-06
37	1	4.87e-06
137	1	2.61e-06
112	1	3e-06
62	1	2.97e-06
112	1	2.95e-06
112	1	2.89e-06
87	1	2.98e-06
12	1	2.33e-06
12	1	2.84e-06
87	1	2.9e-06
12	1	2.95e-06
12	1	2.98e-06
87	1	2.88e-06
12	1	2.23e-06
87	1	4.1e-06
112	1	2.78e-06
87	1	4.05e-06
112	1	4.07e-06
112	1	5.5e-06
87	1	3.68e-06
37	1	3.86e-06
87	1	4.29e-06
12	1	2.9e-06
87	1	4.71e-06
87	1	3.02e-06
37	1	5.47e-06
137	1	4.71e-06
137	1	2.34e-06
37	1	4.17e-06
37	1	5.53e-06
87	1	3.7e-06
37	1	2.53e-06
87	1	2.12e-06
37	1	5.38e-06
32	1	3.54e-06
62	1	3.58e-06
87	1	2.53e-06
37	1	2.78e-06
112	1	4.24e-06
37	1	2.55e-06
37	1	4.8e-06
12	1	4.11e-06
12	1	5.25e-06
37	1	3.6e-06
112	1	2.76e-06
87	1	2.87e-06
37	1	2.72e-06
87	1	2.22e-06
112	1	3.66e-06
37	1	2.58e-06
12	1	4.38e-06
87	1	2.14e-06
37	1	3.95e-06
87	1	4.2e-06
87	1	4.43e-06
87	1	4.1e-06
137	1	2.36e-06
37	1	4.17e-06
97	1	5.12e-06
37	1	3.13e-06
37	1	5.43e-06
87	1	2.57e-06
62	1	2.93e-06
12	1	2.86e-06
37	1	2.35e-06
12	1	3.06e-06
12	1	2.7e-06
37	1	2.87e-06
37	1	2.71e-06
87	1	4.4e-06
37	1	3.43e-06
87	1	3.36e-06
37	1	5.3e-06
62	1	5.59e-06
37	1	2.52e-06
12	1	3.17e-06
87	1	4.51e-06
37	1	2.82e-06
112	1	2.97e-06
12	1	2.86e-06
37	1	3.01e-06
37	1	2.72e-06
37	1	5.03e-06
87	1	3.97e-06
37	1	3e-06
12	1	2.61e-06
122	1	2.85e-06
137	1	2.95e-06
42	1	2.95e-06
86	1	2.64e-06
12	1	2.31e-06
12	1	4.35e-06
86	1	2.92e-06
107	1	2.88e-06
107	1	2.94e-06
132	1	2.81e-06
12	1	4.62e-06
12	1	5.28e-06
132	1	2.92e-06
12	1	2.59e-06
61	1	2.82e-06
37	1	2.88e-06
37	1	3.02e-06
61	1	2.77e-06
132	1	2.86e-06
87	1	2.92e-06
63	1	2.94e-06
112	1	3.02e-06
